Discipline,Journal_count,Publication_count
Interdisciplinary research in the Social Sciences,1592,753265
Pedagogical & Educational Research,1355,644847
Cultural Studies,891,94696
Human Geography and Urban Studies,476,605005
Science and Technology Studies,452,306679
Interdisciplinary research in the Humanities,1353,154756
Art and Art History,633,122292
Literature,1131,213712
Gender Studies,386,113259
Classical Studies,262,64755
History,1360,399670
Philosophy,863,290131
Religious Studies and Theology,578,137654
History & Philosophy of Science,415,413033
Musicology,168,96980
Business and Management,778,399391
Economics,868,582257
Social Statistics and Informatics,225,247821
Law,592,89953
Media Studies and Communication,504,303527
Sociology,817,670586
Environmental Studies,369,623699
Library and Information Science,153,39554
Psychology,1049,2159665
Political Sciences and International Relations,782,256027
Linguistics,1186,388665
Film and Theatre Studies,231,28766
Archaeology,436,650681
Anthropology,604,838507
Demography,188,512162
